x,y,t
0.81443299,-0.605319914,0
0.816151203,-0.594176851,0
0.804696449,-0.58123652,0
0.79954181,-0.575844716,0
0.791237113,-0.558590942,0
0.786368843,-0.547807333,0
0.782932417,-0.538102085,0
0.778350515,-0.528037383,0
0.758304696,-0.516894321,0
0.743699885,-0.491373113,0
0.734822451,-0.484543494,0
0.723367698,-0.478073329,0
0.713917526,-0.473759885,0
0.697880871,-0.460100647,0
0.689289805,-0.456865564,0
0.673825888,-0.461538462,0
0.660366552,-0.470165349,0
0.650630011,-0.483824587,0
0.635166094,-0.493170381,0
0.637170676,-0.512580877,0
0.642038946,-0.522286125,0
0.651489118,-0.538461538,0
0.654925544,-0.553199137,0
0.644329897,-0.562904385,0
0.642038946,-0.583033789,0
0.650630011,-0.594536305,0
0.660080183,-0.60891445,0
0.669816724,-0.616103523,0
0.683562428,-0.627606039,0
0.697880871,-0.636232926,0
0.708476518,-0.647735442,0
0.722508591,-0.648094896,0
0.731099656,-0.654205607,0
0.743699885,-0.662113587,0
0.754295533,-0.662113587,0
0.765750286,-0.656002876,0
0.771764032,-0.656002876,0
0.782359679,-0.652048886,0
0.791523482,-0.648454349,0
0.807273769,-0.638749101,0
0.81185567,-0.625449317,0
0.710194731,-0.649173257,1
0.70045819,-0.652767793,1
0.690148912,-0.659956866,1
0.679839633,-0.664270309,1
0.67067583,-0.667145938,1
0.661512027,-0.667145938,1
0.6534937,-0.662832495,1
0.648911798,-0.655643422,1
0.640893471,-0.644140906,1
0.635166094,-0.631200575,1
0.628293242,-0.622573688,1
0.62371134,-0.609633357,1
0.619129439,-0.602444285,1
0.614547537,-0.593817398,1
0.605383734,-0.590941769,1
0.597365407,-0.580877067,1
0.589347079,-0.570812365,1
0.582474227,-0.560747664,1
0.572164948,-0.549245147,1
0.566437572,-0.533429188,1
0.558419244,-0.52767793,1
0.549255441,-0.514737599,1
0.543528064,-0.498921639,1
0.536655212,-0.487419123,1
0.528636884,-0.474478792,1
0.524054983,-0.46728972,1
0.522909507,-0.458662832,1
0.516036655,-0.445722502,1
0.509163803,-0.439971244,1
0.505727377,-0.422717469,1
0.504581901,-0.412652768,1
0.498854525,-0.399712437,1
0.489690722,-0.388209921,1
0.482817869,-0.381020848,1
0.46792669,-0.369518332,1
0.464490263,-0.35945363,1
0.459908362,-0.345075485,1
0.45532646,-0.333572969,1
0.449599084,-0.322070453,1
0.447308133,-0.310567937,1
0.440435281,-0.300503235,1
0.434707904,-0.294751977,1
0.428980527,-0.280373832,1
0.422107675,-0.267433501,1
0.422107675,-0.257368799,1
0.417525773,-0.244428469,1
0.414089347,-0.232925953,1
0.414089347,-0.221423436,1
0.414089347,-0.20992092,1
0.410652921,-0.199856219,1
